Entry Name,Photo1
Богородица 6 3/4 х 8 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_AF_ZRK9KrHWTDVfzxmSSZDTMTLJopx9H5ILpzKfVURkN_A4TjaDvhQ==
Богородица 8 х 15 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_73K4Mf5TqEFeqZ-dCLl4iw9fX1AX5hFXCD9XfbkH2HEEJZixZj_9dw==
Богородица 9 1/8 х 11 5/8,https://lnk.sortly.co/v2/downloads/photo/v2_e3b5OVbHouL4tuypkUlZ5s9quJp4-bFPe_YUDsgqf9ZVEn7ndfpQTg==
Богородица 9 х 12 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_dZ71FPxI1Id_QlaW9WrupTvK2DsFJzEHczSdAuLq827H03BEaWbVdQ==
Богородица Владимирская 13 х 15 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_E0cNpCLRk69AE5pM1DUlm1TjCsAy3sZWIq0nhCs096YuQK4ul0-HtA==
Богородица Почаевская 12 1/2 х 14,https://lnk.sortly.co/v2/downloads/photo/v2_0rCnaPitEqCDwm0Wmy0kucZnTSlhT0jr-itnNshVKeukeknvPcYG9Q==
Богородица семистрельная 13 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_OkPBuVDMk9lWJQM37zTPwFzQ4LGGcxUBjQtG0qWunxFiWQ5oBmV_hA==
Валентина 11 1/4 х 14 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_ADiXNL1seuoHVCyxgI_PRx4h-wG2RU6-0ScneA7493YLj8UAfmNKfg==
Введение 12 7/8 х 15 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_ue_zGPJ3QOqYWn1ngyCz6V8hvcFulniZJ7I9J-VsLbqbTse27GnHMw==
Вознесение 12 7/8 х 16,https://lnk.sortly.co/v2/downloads/photo/v2_SrTIBkpC2ZklpKDjzX9EEyuNB2WX6RKOZ6-EFoxV4qAgNC6VKEIN3g==
Вознесение 13 5/8 х 16 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_V2tcMWVHRBg_EZpz3suneRdhc8i9HGQS4dA3TtNYqFy1ExPokO8TiA==
Воскресенье Госп. 12 1/2 х 14 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_rrkxWXGmC6qnHhDvqCSB1z0YXCJ-Q6aDxpPqIeZzf7Md04WYSUb-vw==
Всех святых 9 1/2 х 11 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_lJQ2VToR_SSoAABFlIeicjeXzXEeehfXxdbt96ASAfZJOxyGuFCqRA==
Вход Господня в Иерусалим 12 1/2 х 15 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_jwZS5xRXQ45MP2Lpk6fJyXkTxAJ1HZhMy0ItwGi75MD7Yxe87NZQeg==
Георгий 7 7/8 х 11 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_UTwJirpgn6UBlfu8CHsWe2PRB-dpICziFzky5ssZZtV-M174Rl7gpg==
Георгий победоносец 14 1/2 х 18 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_lC1Hy3-5vovL6r2tSixHZB1ID7DDBkwNLUvGYYAD8DZSXz-G-2vYfg==
Глава Св. Иоанна 13 1/2 х 15 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_2AgnDtEgOTh3_d-XqB4vyRs0YrhAvvBY6EOtu1h_zH4_oDBZ9yst-g==
Господь Вседержитель 16 1/2 х 19 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_vZvyUiyhaaGf8zXxgpVpjBIhVlu4agFBQFvF2REPCHZEdPU-SDQlSw==
Дмитрий Ростовский 9 1/2 х 11 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_kNlEP0D94xPcGD5udwFh4q4CUZh-7TJdfzR79RVQtApCgPY-tLuP9A==
Женевьева 14 7/8 х 18 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_Ep5oa0WjIhe9kgBEU7HZjU635mpQhnagF-Dypug036Nyzx7ygMRDxQ==
Иоан Златоуст 8 1/4 х 11 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_Rjrf9ixfCkq1r_QFHVPruTvls_-cTwYO42xSZQiOrf6NbzygLdeymA==
Иоан Кронштадтский 13 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_aEBRjr3q2EqZxfGnM0sUL9meT-8HrLVwTL39hAziphjfXUymm5_JmA==
Иов Почаевский 4 7/8 х 6 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_dCsT_RO6TXP16zIFlTeI4RJeunwAsOFypUyxob8aoTa2rZ9y9aLLUQ==
Иов и Амфилохий 5 1/2 х 4 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_mMCaJy7i6jjaUbPg1Jxt2JLeAvghBa-lepK5LEwJ65vbqQwdG__mvg==
Казанская Богородица 15 3/4 х 18 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_D1f8cL5aeGFoWqUdcYrfSSyUbu__pxAIPMd11TM95A11XdvcLt-f_g==
Киприан и Иустиния 9 х 10 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_T4w49flhzkm4aWJ90LTvJ2h-bfVli7tK40ywlKXZfl4Os8EI5SSmlA==
Космас 8 1/4 х 11 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_qq_1k4onUMTuQnspr3Vhvz0aX6uvDzAOljj-yL5zRVm295865T068g==
Крестовоздвижения 12 3/8 х 15,https://lnk.sortly.co/v2/downloads/photo/v2_esaU6A51kBfQOCFTMslEfRsXb3oUNv2BfGET9XmQVrgzZSfXwqNrcA==
Крещение 12 3/4 х 15 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_FSy_odjfWDTJQPmHBww-YrraVX9SnApvUmafMiUymqGm8tIotwZR6A==
Крещение 8 1/8 х 10 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_JbGh_qJo_9NfwVovmVuURCnboo3DFzksTgdTzAEmDaPSx2mUSqJUZg==
Крещение России 10 1/4 х 13 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_pOtO9OZp7yJr8XKKn_UntjnNHaKUALOasmVhYQrUmjZ-ItK1YPe2ww==
Ксения Петербургская 3 1/4 х 5,https://lnk.sortly.co/v2/downloads/photo/v2_XeuDnzV-uCGwMi8K9DvmBEyD2FjO9DPTa-GvCXqpl6G-ZN8vf6Emag==
