"Entry Name,Entry Type,Photo1"
"Богородица 5 5/8 х 6 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_s7UIrXWbgADK34KH0ms4sPJhiZrqeEEa3BbHOMlhKqnNCZzbY28K7w=="
"Богородица 6 1/8 х 8 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_B_AZY6bYaNYgJt8NimW2UBE0QVmQdRy2dZdMXNPSXdNYwpFE3Y2n4w=="
"Богородица 6 3/4 х 8 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_nvDDS77Go_wE7JZbzMBIWczXVkVSJEhld2__k-ZCoUwED1dU3AANLQ=="
"Богородица 8 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_zQHGLU4vzu56pqSpwKjh0Gqf1Vw62_qr4Abd1hsRz-mynUJyJ-V-kw=="
"Богородица 9 1/8 х 11 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_i-BBQGcp8rlgrqw2tXKDDUebnl5oNP5ALdR_SFOCbd3c7-3UyDPxzg=="
"Богородица 9 х 12 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_5tWi_VKoZDv7RUx3ojquOZBKERNn6FzO-kh4v3OFzo8cb5VDzP6_tQ=="
"Богородица Владимирская 13 х 15 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_YYJk3HRYFbAihvth2gzdwkFVxjmhk4WNmVyHMaVybU2QVqvU2FIIZg=="
"Богородица Почаевская 12 1/2 х 14,Item,https://lnk.sortly.co/v2/downloads/photo/v2_snIacsQjETndRDEsfp_pKjVU3aHG03F2SQLw2BRuN_4M1jQcM-ZW_Q=="
"Богородица семистрельная 13 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Klz4KKM4UIuIylhMr2C3aVGBs6s0XMCGYZaZCXirPtU2udk7EFPeLw=="
"Валентина 11 1/4 х 14 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_G9PWq7i4yk7qcKnnuBpP3rjVoNSx5vgaBuJYC2Bn4OIWOjzNBP-39g=="
"Введение 12 7/8 х 15 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_cxPg39hYQiZ0AMLbIytnQaMUN9s78OvpzinsedMCFyZOn2v5hzxEaw=="
"Вознесение 12 7/8 х 16,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Rvt5oFnY64JqXBo1KKn8scRPHqlPFIeK_piT-hL18T6A_CSh2T3ocA=="
"Вознесение 13 5/8 х 16 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_MU9PwpR5xx3CSkMQB1ahNwwwmkuRAT2WziOtkbAcANzoV-SDf_u-rA=="
"Воскресенье Госп. 12 1/2 х 14 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_3cdgvGoDdMVnX1YkvRsq3LA6V0-vSPzoRN9QDKQcarpsq8s_8NVryQ=="
"Всех святых 9 1/2 х 11 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_NR5az01A_nryoSXiBPgze8wGdQgv6CRD420aducGXfVr2iTGO0fdnA=="
"Вход Господня в Иерусалим 12 1/2 х 15 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_GqketyYngoteXhVeVhpSiEwBbsLAvPjrhQ7SiXAujSI04_OA2S873g=="
"Георгий 7 7/8 х 11 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_ASkPIpEFFM31TEfdMeJuTpQoBs9JN8Fd_IRiYaqDVuEBH37it1jcLg=="
"Георгий победоносец 14 1/2 х 18 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_53P_Dvvm_bTVGNJZpa3pO5TXZ86NHAnhjO6EdOPdvdWdSJo7fV3y_g=="
"Глава Св. Иоанна 13 1/2 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_AsRbqnX0_t15Kja4HXANfafRjTVj5fFSdButgjPigmetmp165j2qlg=="
"Господь Вседержитель 16 1/2 х 19 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_BOpK8h_kmUas6EnZpQHctyO6tqBNxi2giApwMR7Fuh8erTXLGniutA=="
"Дмитрий Ростовский 9 1/2 х 11 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_3SidAWIBs6CjoKvRZr8cXN11ax4--y6WsfbbPrTZzaAL7_UTiVEJNw=="
"Женевьева 14 7/8 х 18 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_vY6Ndqo-ad2rpGwzymsYXv3guJHHbTm5caYOtrfcmQUVv05wGBN5sQ=="
"Иоан Златоуст 8 1/4 х 11 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_2SV7IAveJsp75Rh4fAV8KU11uCw2HP0nVz-pO6sepSyxS58fGZm_eQ=="
"Иоан Кронштадтский 13 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_wnSwWIxgYPjSYRWcQUyTNYfOOb9WxtnEgX2ylg0RllSpzYllNL8oHg=="
"Иов Почаевский 4 7/8 х 6 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_6nk2I-7-94X-_xHMWbogzhufY_CjAP-M4kI9MRLKHsiMDNb5etEUow=="
"Иов и Амфилохий 5 1/2 х 4 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_3H4L-7JpStTPDYEX_g6s7O4tiNAa69I6bgdT4vCfzsCSdc5OulebNQ=="
